date,n,total_mean,dbi_mean,balanced_rate,skewed_rate
2024-03-21,5,8.76,0.802400560052163,60.0,20.0
2024-03-22,7,8.5,0.9016874334863266,85.71428571428571,0.0
2024-03-23,10,9.059999999999999,0.8179243838078104,60.0,0.0
2024-03-24,4,8.075,0.8790968558924102,100.0,0.0
2024-03-25,7,6.885714285714285,0.7379684155973723,42.857142857142854,28.57142857142857
2024-03-26,8,8.1,0.8771754651117926,75.0,0.0
2024-03-27,8,8.0375,0.8817961944794803,87.5,0.0
2024-03-28,2,10.55,0.8598222136473779,50.0,0.0
2024-03-29,4,8.075,0.9415550729845485,100.0,0.0
2024-03-30,8,7.85,0.8178036291341612,75.0,0.0
2024-03-31,10,9.23,0.9066034338212052,80.0,0.0
2024-04-01,10,7.5,0.9027281089937246,100.0,0.0
